,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0.0,1160.6880072990116,0.00041039100051420974,"[5, 3, 8, 1, 2, 0, 6, 4, 9, 7]",False,10,0.25,4096
1,2.0,1283.745487089408,0.06649218400070822,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.25,4096
2,1009.616611070054,1283.745487089408,31.38761224800055,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.25,4096
3,1179.599689689595,1283.745487089408,31.38761224800055,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.25,4096
4,1378.201797255533,1283.745487089408,31.38761224800055,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.25,4096
5,1610.2413476034467,1283.745487089408,31.38761224800055,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.25,4096
6,1881.3480019363337,1283.745487089408,31.38761224800055,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.25,4096
7,2198.099253666354,1283.745487089408,31.38761224800055,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.25,4096
8,2568.180009225155,1283.745487089408,31.38761224800055,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.25,4096
9,3000.5690365358028,1283.745487089408,31.38761224800055,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.25,4096
10,3505.7568046929086,1283.745487089408,31.38761224800055,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.25,4096
11,4096.0,1283.745487089408,31.38761224800055,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.25,4096
12,0.0,1160.6880072990116,0.00047284900028898846,"[5, 3, 8, 1, 2, 0, 6, 4, 9, 7]",False,10,0.5,4096
13,2.0,1283.745487089408,0.06502450500011037,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.5,4096
14,1009.616611070054,1283.745487089408,31.337025775000257,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.5,4096
15,1179.599689689595,1283.745487089408,31.337025775000257,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.5,4096
16,1378.201797255533,1283.745487089408,31.337025775000257,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.5,4096
17,1610.2413476034467,1283.745487089408,31.337025775000257,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.5,4096
18,1881.3480019363337,1283.745487089408,31.337025775000257,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.5,4096
19,2198.099253666354,1283.745487089408,31.337025775000257,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.5,4096
20,2568.180009225155,1283.745487089408,31.337025775000257,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.5,4096
21,3000.5690365358028,1283.745487089408,31.337025775000257,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.5,4096
22,3505.7568046929086,1283.745487089408,31.337025775000257,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.5,4096
23,4096.0,1283.745487089408,31.337025775000257,"[4, 0, 8, 2, 7, 5, 6, 1, 3, 9]",False,10,0.5,4096
24,0.0,1160.6880072990116,0.0005547169994315482,"[5, 3, 8, 1, 2, 0, 6, 4, 9, 7]",False,10,0.75,4096
25,2.0,1350.8168674875992,0.06702476699956605,"[4, 0, 8, 7, 5, 2, 6, 1, 3, 9]",False,10,0.75,4096
26,1009.616611070054,1350.8168674875992,31.31403686900012,"[4, 0, 8, 7, 5, 2, 6, 1, 3, 9]",False,10,0.75,4096
27,1179.599689689595,1350.8168674875992,31.31403686900012,"[4, 0, 8, 7, 5, 2, 6, 1, 3, 9]",False,10,0.75,4096
28,1378.201797255533,1350.8168674875992,31.31403686900012,"[4, 0, 8, 7, 5, 2, 6, 1, 3, 9]",False,10,0.75,4096
29,1610.2413476034467,1350.8168674875992,31.31403686900012,"[4, 0, 8, 7, 5, 2, 6, 1, 3, 9]",False,10,0.75,4096
30,1881.3480019363337,1350.8168674875992,31.31403686900012,"[4, 0, 8, 7, 5, 2, 6, 1, 3, 9]",False,10,0.75,4096
31,2198.099253666354,1350.8168674875992,31.31403686900012,"[4, 0, 8, 7, 5, 2, 6, 1, 3, 9]",False,10,0.75,4096
32,2568.180009225155,1350.8168674875992,31.31403686900012,"[4, 0, 8, 7, 5, 2, 6, 1, 3, 9]",False,10,0.75,4096
33,3000.5690365358028,1350.8168674875992,31.31403686900012,"[4, 0, 8, 7, 5, 2, 6, 1, 3, 9]",False,10,0.75,4096
34,3505.7568046929086,1350.8168674875992,31.31403686900012,"[4, 0, 8, 7, 5, 2, 6, 1, 3, 9]",False,10,0.75,4096
35,4096.0,1350.8168674875992,31.31403686900012,"[4, 0, 8, 7, 5, 2, 6, 1, 3, 9]",False,10,0.75,4096
36,0.0,1160.6880072990116,0.0014579129992853268,"[5, 3, 8, 1, 2, 0, 6, 4, 9, 7]",False,40,0.25,4096
37,2.0,1354.1720482398705,0.0935101429995484,"[1, 3, 0, 2, 4, 9, 7, 5, 8, 6]",False,40,0.25,4096
38,1009.616611070054,1354.1720482398705,43.45864100899962,"[1, 3, 0, 2, 4, 9, 7, 5, 8, 6]",False,40,0.25,4096
