,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.00044449100005294895,1283.745487089408,10,0.1,4096
1,1,0.0017577849994268036,1283.745487089408,10,0.1,4096
2,2,0.0029260389992487035,1283.745487089408,10,0.1,4096
3,3,0.006511255000077654,1283.745487089408,10,0.1,4096
4,4,0.007676171999264625,1308.9989948483715,10,0.1,4096
5,5,0.008754937000048812,1312.9921319933646,10,0.1,4096
6,6,0.009837521000008564,1350.4066357553918,10,0.1,4096
7,7,0.010983041999679699,1350.4066357553918,10,0.1,4096
8,8,0.012053531999299594,1350.4066357553918,10,0.1,4096
9,9,0.013125123999998323,1350.4066357553918,10,0.1,4096
10,10,0.01417373200001748,1350.4066357553918,10,0.1,4096
11,11,0.015289170999494672,1350.4066357553918,10,0.1,4096
12,12,0.016347363000022597,1350.4066357553918,10,0.1,4096
13,13,0.017373218000102497,1350.4066357553918,10,0.1,4096
14,14,0.01841463999971893,1350.4066357553918,10,0.1,4096
15,15,0.01950809299978573,1350.4066357553918,10,0.1,4096
16,16,0.020559571999910986,1350.4066357553918,10,0.1,4096
17,17,0.021583856999313866,1371.2933232316364,10,0.1,4096
18,18,0.02271977500004141,1371.2933232316364,10,0.1,4096
19,19,0.02378472399959719,1371.2933232316364,10,0.1,4096
20,20,0.02481772800001636,1371.2933232316364,10,0.1,4096
21,21,0.025875092999740446,1371.2933232316364,10,0.1,4096
22,22,0.02698432099987258,1371.2933232316364,10,0.1,4096
23,23,0.028027413000017987,1371.2933232316364,10,0.1,4096
24,24,0.029055403999336704,1371.2933232316364,10,0.1,4096
25,25,0.030113800999970408,1371.2933232316364,10,0.1,4096
26,26,0.03122976899976493,1371.2933232316364,10,0.1,4096
27,27,0.03227148999940255,1371.2933232316364,10,0.1,4096
28,28,0.0333113950000552,1371.2933232316364,10,0.1,4096
29,29,0.034335810999436944,1371.2933232316364,10,0.1,4096
30,30,0.035431610999694385,1371.2933232316364,10,0.1,4096
31,31,0.03647383499992429,1390.2294779285967,10,0.1,4096
32,32,0.03755045099933341,1390.2294779285967,10,0.1,4096
33,33,0.03866607199961436,1390.2294779285967,10,0.1,4096
34,34,0.0397411199992348,1397.2109139636877,10,0.1,4096
35,35,0.04080486199927691,1397.2109139636877,10,0.1,4096
36,36,0.04183907199967507,1397.2109139636877,10,0.1,4096
37,37,0.042955152000104135,1397.2109139636877,10,0.1,4096
38,38,0.04396791799990751,1397.2109139636877,10,0.1,4096
39,39,0.04502271799992741,1397.2109139636877,10,0.1,4096
40,40,0.046084441999482806,1397.2109139636877,10,0.1,4096
41,41,0.04720974999963801,1397.2109139636877,10,0.1,4096
42,42,0.04823773199950665,1397.2109139636877,10,0.1,4096
43,43,0.049285465000139084,1397.2109139636877,10,0.1,4096
44,44,0.05034484399948269,1397.2109139636877,10,0.1,4096
45,45,0.05143642399980308,1397.2109139636877,10,0.1,4096
46,46,0.05247283099924971,1397.2109139636877,10,0.1,4096
47,47,0.0535085989995423,1397.2109139636877,10,0.1,4096
48,48,0.05461711199950514,1397.2109139636877,10,0.1,4096
49,49,0.055721439000080863,1397.2109139636877,10,0.1,4096
50,50,0.056775404999825696,1397.2109139636877,10,0.1,4096
51,51,0.05783948699991015,1397.2109139636877,10,0.1,4096
52,52,0.05897184399964317,1397.2109139636877,10,0.1,4096
53,53,0.06004196300000331,1397.2109139636877,10,0.1,4096
54,54,0.061079093999978795,1397.2109139636877,10,0.1,4096
55,55,0.06214649699995789,1397.2109139636877,10,0.1,4096
56,56,0.06330281499958801,1397.2109139636877,10,0.1,4096
57,57,0.06435907800005225,1397.2109139636877,10,0.1,4096
58,58,0.06540292899990163,1397.2109139636877,10,0.1,4096
59,59,0.06647814499956439,1397.2109139636877,10,0.1,4096
60,60,0.06762117099970055,1397.2109139636877,10,0.1,4096
61,61,0.06869158299923583,1397.2109139636877,10,0.1,4096
62,62,0.06973207699957129,1397.2109139636877,10,0.1,4096
63,63,0.07089943299979495,1397.2109139636877,10,0.1,4096
64,64,0.07195680199947674,1397.2109139636877,10,0.1,4096
65,65,0.07303352500002802,1397.2109139636877,10,0.1,4096
66,66,0.0741076209997118,1397.2109139636877,10,0.1,4096
67,67,0.07520943399958924,1397.2109139636877,10,0.1,4096
68,68,0.07624631399994541,1397.2109139636877,10,0.1,4096
69,69,0.07729953599937289,1397.2109139636877,10,0.1,4096
70,70,0.07835551900006976,1397.2109139636877,10,0.1,4096
71,71,0.0795140709997213,1397.2109139636877,10,0.1,4096
72,72,0.08055940299982467,1397.2109139636877,10,0.1,4096
73,73,0.08161914099946443,1397.2710839816887,10,0.1,4096
74,74,0.08275910900010786,1397.2710839816887,10,0.1,4096
75,75,0.08381428999928175,1397.2710839816887,10,0.1,4096
76,76,0.08485927899982926,1397.2710839816887,10,0.1,4096
77,77,0.08590789399931964,1397.2710839816887,10,0.1,4096
78,78,0.08704166600000462,1397.2710839816887,10,0.1,4096
79,79,0.0881060809997507,1397.2710839816887,10,0.1,4096
80,80,0.0891688689998773,1397.2710839816887,10,0.1,4096
81,81,0.0902140039997903,1397.2710839816887,10,0.1,4096
82,82,0.09132678999958443,1397.2710839816887,10,0.1,4096
83,83,0.09236245200008852,1397.2710839816887,10,0.1,4096
84,84,0.09341920499991829,1397.2710839816887,10,0.1,4096
85,85,0.09446284499972535,1397.2710839816887,10,0.1,4096
86,86,0.0955817179992664,1397.2710839816887,10,0.1,4096
87,87,0.09661708199928398,1397.2710839816887,10,0.1,4096
88,88,0.09768056299981254,1397.2710839816887,10,0.1,4096
