,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0003965580035583116,465.2496439003712,10,0.1,4096
1,1,0.0015525880007771775,465.2496439003712,10,0.1,4096
2,2,0.002521333000913728,465.2496439003712,10,0.1,4096
3,3,0.005912920001719613,465.2496439003712,10,0.1,4096
4,4,0.006870013003208442,465.2496439003712,10,0.1,4096
5,5,0.007871470003010472,465.2496439003712,10,0.1,4096
6,6,0.008829484002490062,465.2496439003712,10,0.1,4096
7,7,0.00979165300304885,465.2496439003712,10,0.1,4096
8,8,0.01079725600357051,465.2496439003712,10,0.1,4096
9,9,0.011847956000565318,465.2496439003712,10,0.1,4096
10,10,0.012813956000172766,465.2496439003712,10,0.1,4096
11,11,0.013782931000605458,465.2496439003712,10,0.1,4096
12,12,0.014750590002222452,465.2496439003712,10,0.1,4096
13,13,0.015790485002071364,465.2496439003712,10,0.1,4096
14,14,0.01673595800093608,465.2496439003712,10,0.1,4096
15,15,0.017681750003248453,465.2496439003712,10,0.1,4096
16,16,0.018627703000674956,465.2496439003712,10,0.1,4096
17,17,0.01962624300358584,465.2496439003712,10,0.1,4096
18,18,0.020592451000993606,465.2496439003712,10,0.1,4096
19,19,0.02153292400180362,465.2496439003712,10,0.1,4096
20,20,0.02247690900185262,465.2496439003712,10,0.1,4096
21,21,0.02343459400071879,465.2496439003712,10,0.1,4096
22,22,0.024456509003357496,465.2496439003712,10,0.1,4096
23,23,0.02540668500296306,465.2496439003712,10,0.1,4096
24,24,0.02635271000326611,465.2496439003712,10,0.1,4096
25,25,0.027308835000440013,465.2496439003712,10,0.1,4096
26,26,0.028318794000369962,465.2496439003712,10,0.1,4096
27,27,0.029281061000801856,465.2496439003712,10,0.1,4096
28,28,0.030251953001425136,465.2496439003712,10,0.1,4096
29,29,0.031215315000736155,465.2496439003712,10,0.1,4096
30,30,0.03222725100204116,465.2496439003712,10,0.1,4096
31,31,0.03317510000124457,465.2496439003712,10,0.1,4096
32,32,0.03413752300184569,465.2496439003712,10,0.1,4096
33,33,0.0350861070000974,465.2496439003712,10,0.1,4096
34,34,0.036108550000790274,465.2496439003712,10,0.1,4096
35,35,0.037039788003312424,465.2496439003712,10,0.1,4096
36,36,0.03799852100200951,465.2496439003712,10,0.1,4096
37,37,0.03895895300229313,465.2496439003712,10,0.1,4096
38,38,0.03995733800184098,465.2496439003712,10,0.1,4096
39,39,0.04091789400263224,465.2496439003712,10,0.1,4096
40,40,0.041844864001177484,465.2496439003712,10,0.1,4096
41,41,0.04280382000069949,465.2496439003712,10,0.1,4096
42,42,0.04379184800200164,465.2496439003712,10,0.1,4096
43,43,0.04472661000181688,465.2496439003712,10,0.1,4096
44,44,0.045651209002244286,465.2496439003712,10,0.1,4096
45,45,0.04658258100243984,465.2496439003712,10,0.1,4096
46,46,0.04751032600324834,465.2496439003712,10,0.1,4096
47,47,0.04848515400226461,465.2496439003712,10,0.1,4096
48,48,0.049388702002033824,465.2496439003712,10,0.1,4096
49,49,0.05030438000176218,465.2496439003712,10,0.1,4096
50,50,0.051217908003309276,465.2496439003712,10,0.1,4096
51,51,0.0522345250028593,465.2496439003712,10,0.1,4096
52,52,0.05315451200294774,465.2496439003712,10,0.1,4096
53,53,0.05406991700147046,465.2496439003712,10,0.1,4096
54,54,0.054994631002045935,465.2496439003712,10,0.1,4096
55,55,0.05593105400112108,465.2496439003712,10,0.1,4096
56,56,0.05686133500057622,465.2496439003712,10,0.1,4096
57,57,0.05779256300229463,465.2496439003712,10,0.1,4096
58,58,0.05870978400344029,465.2496439003712,10,0.1,4096
59,59,0.05972054800076876,465.2496439003712,10,0.1,4096
60,60,0.06062677200316102,465.2496439003712,10,0.1,4096
61,61,0.06154300200068974,465.2496439003712,10,0.1,4096
62,62,0.062469313001201954,465.2496439003712,10,0.1,4096
63,63,0.06338632200277061,465.2496439003712,10,0.1,4096
64,64,0.06437907200233894,465.2496439003712,10,0.1,4096
65,65,0.06528621400138945,465.2496439003712,10,0.1,4096
66,66,0.06622173200230463,465.2496439003712,10,0.1,4096
67,67,0.06716361100188806,465.2496439003712,10,0.1,4096
68,68,0.06815940100204898,465.2496439003712,10,0.1,4096
69,69,0.06911800700254389,465.2496439003712,10,0.1,4096
70,70,0.07004426500134286,465.2496439003712,10,0.1,4096
71,71,0.07097001900183386,465.2496439003712,10,0.1,4096
72,72,0.07196277500042925,465.2496439003712,10,0.1,4096
73,73,0.07290313200064702,465.2496439003712,10,0.1,4096
74,74,0.07381212500331458,465.2496439003712,10,0.1,4096
75,75,0.07474696800272795,465.2496439003712,10,0.1,4096
76,76,0.07573921900257119,465.2496439003712,10,0.1,4096
77,77,0.07666505300221615,465.2496439003712,10,0.1,4096
78,78,0.07758922200082452,465.2496439003712,10,0.1,4096
79,79,0.078516331002902,465.2496439003712,10,0.1,4096
80,80,0.07944383500216645,465.2496439003712,10,0.1,4096
81,81,0.08039621700299904,465.2496439003712,10,0.1,4096
82,82,0.08131955300268601,465.2496439003712,10,0.1,4096
83,83,0.0822357840006589,465.2496439003712,10,0.1,4096
84,84,0.08314796100239619,465.2496439003712,10,0.1,4096
85,85,0.08412330700230086,465.2496439003712,10,0.1,4096
86,86,0.08503904400276951,465.2496439003712,10,0.1,4096
87,87,0.08596696400127257,465.2496439003712,10,0.1,4096
88,88,0.08689609300199663,465.2496439003712,10,0.1,4096
89,89,0.08788100000310806,465.2496439003712,10,0.1,4096
90,90,0.08879801700095413,465.2496439003712,10,0.1,4096
91,91,0.089704611000343,465.2496439003712,10,0.1,4096
