,Iteration,Time,Fitness,Temperature,max_iters
125,125,0.00926197199987655,49.0,1,4096
126,126,0.00931197699992481,49.0,1,4096
127,127,0.009362967999550165,49.0,1,4096
128,128,0.00941317899923888,49.0,1,4096
129,129,0.00946399299937184,49.0,1,4096
130,130,0.009515276999991329,49.0,1,4096
131,131,0.009566290999828198,49.0,1,4096
132,132,0.009617699999580509,49.0,1,4096
133,133,0.009669458999269409,49.0,1,4096
134,134,0.009721221999825502,49.0,1,4096
135,135,0.009773102999133698,49.0,1,4096
136,136,0.009824936999393685,49.0,1,4096
137,137,0.009876376999272907,49.0,1,4096
138,138,0.009927567999511666,49.0,1,4096
139,139,0.01002055999924778,49.0,1,4096
140,140,0.010110217999681481,49.0,1,4096
141,141,0.010162149999814574,49.0,1,4096
142,142,0.010214415999143966,49.0,1,4096
143,143,0.010266916999171372,49.0,1,4096
144,144,0.010318955999537138,49.0,1,4096
145,145,0.010370926999712538,49.0,1,4096
146,146,0.010422664999168774,49.0,1,4096
147,147,0.010474355999576801,49.0,1,4096
148,148,0.010526174000005994,49.0,1,4096
149,149,0.010579017999589269,49.0,1,4096
150,150,0.010631223999553185,49.0,1,4096
151,151,0.010684111999580637,49.0,1,4096
152,152,0.010736644999269629,49.0,1,4096
153,153,0.01078887699986808,49.0,1,4096
154,154,0.010840922999705072,49.0,1,4096
155,155,0.010893681999732507,49.0,1,4096
156,156,0.010946504999992612,49.0,1,4096
157,157,0.010998780999216251,49.0,1,4096
158,158,0.011050840999814682,49.0,1,4096
159,159,0.011103301999355608,49.0,1,4096
160,160,0.011155909999615687,49.0,1,4096
161,161,0.011209109999981592,49.0,1,4096
162,162,0.011262588999670697,49.0,1,4096
163,163,0.011316084999634768,49.0,1,4096
164,164,0.01136953899913351,49.0,1,4096
165,165,0.011422546999710903,49.0,1,4096
166,166,0.011475692999738385,49.0,1,4096
167,167,0.011529013999279414,49.0,1,4096
168,168,0.01158218099953956,49.0,1,4096
169,169,0.01163550999990548,49.0,1,4096
170,170,0.011689349999869592,49.0,1,4096
171,171,0.011743072999706783,49.0,1,4096
172,172,0.011796226999649662,49.0,1,4096
173,173,0.011849458999677154,49.0,1,4096
174,174,0.011905416999979934,49.0,1,4096
175,175,0.011959920999288443,49.0,1,4096
