,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0.0,4.0,0.00030172799961292185,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",10,0.1,4096
1,2.0,27.0,0.0020035050001752097,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",10,0.1,4096
2,541.8060349810154,37.0,0.40006765900034225,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.1,4096
3,633.0266595536526,37.0,0.40006765900034225,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.1,4096
4,739.605552233646,37.0,0.40006765900034225,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.1,4096
5,864.1284922826758,37.0,0.40006765900034225,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.1,4096
6,1009.616611070054,37.0,0.40006765900034225,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.1,4096
7,1179.599689689595,37.0,0.40006765900034225,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.1,4096
8,1378.201797255533,37.0,0.40006765900034225,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.1,4096
9,1610.2413476034467,37.0,0.40006765900034225,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.1,4096
10,1881.3480019363337,37.0,0.40006765900034225,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.1,4096
11,2198.099253666354,37.0,0.40006765900034225,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.1,4096
