,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
48,0.0,12.0,49.21327301099518,"[1, 1, 0, 1, 1, 1, 0, 1, 0, 0]",10,4096,10
49,2.0,12.0,49.218172242995934,"[1, 1, 0, 1, 1, 1, 0, 1, 0, 0]",10,4096,10
50,4096.0,18.0,59.030307162996905,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",10,4096,10
51,0.0,3.0,8.381700172321871e-05,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",20,4096,0
52,2.0,3.0,0.00038634900556644425,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",20,4096,0
53,4096.0,18.0,0.9443334840034368,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",20,4096,0
54,0.0,1.0,1.3469856880037696,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",20,4096,1
55,2.0,1.0,1.3476223860052414,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",20,4096,1
56,4096.0,18.0,3.15266545600025,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",20,4096,1
57,0.0,1.0,3.5724329770018812,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",20,4096,2
58,2.0,7.0,3.574700526005472,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0]",20,4096,2
59,4096.0,18.0,6.22622062600567,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",20,4096,2
60,0.0,2.0,6.665073445001326,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",20,4096,3
61,2.0,2.0,6.666550374000508,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",20,4096,3
62,4096.0,10.0,10.21604978400137,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",20,4096,3
63,0.0,0.0,10.680720904005284,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",20,4096,4
64,2.0,1.0,10.682624376000604,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",20,4096,4
65,4096.0,18.0,15.099921367000206,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",20,4096,4
66,0.0,10.0,15.615328085004876,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",20,4096,5
67,2.0,10.0,15.617558543999621,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",20,4096,5
68,4096.0,10.0,20.825910170002317,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",20,4096,5
69,0.0,1.0,21.352057124000567,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",20,4096,6
70,2.0,1.0,21.355083476999425,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",20,4096,6
71,4096.0,18.0,27.53831076100323,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",20,4096,6
72,0.0,1.0,28.07821536800475,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0]",20,4096,7
73,2.0,1.0,28.081295863004925,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0]",20,4096,7
74,4096.0,18.0,35.220318163999764,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",20,4096,7
75,0.0,2.0,35.780969927000115,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 0]",20,4096,8
76,2.0,13.0,35.78516036100336,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0]",20,4096,8
77,4096.0,18.0,43.844233349002025,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",20,4096,8
78,0.0,1.0,44.42412526400585,"[1, 0, 0, 1, 1, 0, 1, 1, 1, 0]",20,4096,9
79,2.0,1.0,44.42835402900528,"[1, 0, 0, 1, 1, 0, 1, 1, 1, 0]",20,4096,9
