,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0.0,465.24964390037115,0.00039299900163314305,"[4, 1, 0, 3, 2]",False,10,0.25,4096
1,2.0,465.2496439003712,0.020405634000780992,"[4, 2, 3, 0, 1]",False,10,0.25,4096
2,1009.616611070054,465.2496439003712,9.29665847400247,"[4, 2, 3, 0, 1]",False,10,0.25,4096
3,1179.599689689595,465.2496439003712,9.29665847400247,"[4, 2, 3, 0, 1]",False,10,0.25,4096
4,1378.201797255533,465.2496439003712,9.29665847400247,"[4, 2, 3, 0, 1]",False,10,0.25,4096
5,1610.2413476034467,465.2496439003712,9.29665847400247,"[4, 2, 3, 0, 1]",False,10,0.25,4096
6,1881.3480019363337,465.2496439003712,9.29665847400247,"[4, 2, 3, 0, 1]",False,10,0.25,4096
7,2198.099253666354,465.2496439003712,9.29665847400247,"[4, 2, 3, 0, 1]",False,10,0.25,4096
8,2568.180009225155,465.2496439003712,9.29665847400247,"[4, 2, 3, 0, 1]",False,10,0.25,4096
9,3000.5690365358028,465.2496439003712,9.29665847400247,"[4, 2, 3, 0, 1]",False,10,0.25,4096
10,3505.7568046929086,465.2496439003712,9.29665847400247,"[4, 2, 3, 0, 1]",False,10,0.25,4096
11,4096.0,465.2496439003712,9.29665847400247,"[4, 2, 3, 0, 1]",False,10,0.25,4096
12,0.0,465.24964390037115,0.0003656170010799542,"[4, 1, 0, 3, 2]",False,10,0.5,4096
13,2.0,465.2496439003712,0.020255147999705514,"[4, 2, 3, 0, 1]",False,10,0.5,4096
14,1009.616611070054,465.2496439003712,9.354586641999049,"[4, 2, 3, 0, 1]",False,10,0.5,4096
15,1179.599689689595,465.2496439003712,9.354586641999049,"[4, 2, 3, 0, 1]",False,10,0.5,4096
16,1378.201797255533,465.2496439003712,9.354586641999049,"[4, 2, 3, 0, 1]",False,10,0.5,4096
17,1610.2413476034467,465.2496439003712,9.354586641999049,"[4, 2, 3, 0, 1]",False,10,0.5,4096
18,1881.3480019363337,465.2496439003712,9.354586641999049,"[4, 2, 3, 0, 1]",False,10,0.5,4096
19,2198.099253666354,465.2496439003712,9.354586641999049,"[4, 2, 3, 0, 1]",False,10,0.5,4096
20,2568.180009225155,465.2496439003712,9.354586641999049,"[4, 2, 3, 0, 1]",False,10,0.5,4096
21,3000.5690365358028,465.2496439003712,9.354586641999049,"[4, 2, 3, 0, 1]",False,10,0.5,4096
22,3505.7568046929086,465.2496439003712,9.354586641999049,"[4, 2, 3, 0, 1]",False,10,0.5,4096
23,4096.0,465.2496439003712,9.354586641999049,"[4, 2, 3, 0, 1]",False,10,0.5,4096
24,0.0,465.24964390037115,0.00036819300294155255,"[4, 1, 0, 3, 2]",False,10,0.75,4096
25,2.0,465.2496439003712,0.020633891002944438,"[4, 2, 3, 0, 1]",False,10,0.75,4096
26,1009.616611070054,465.2496439003712,9.597170491000725,"[4, 2, 3, 0, 1]",False,10,0.75,4096
27,1179.599689689595,465.2496439003712,9.597170491000725,"[4, 2, 3, 0, 1]",False,10,0.75,4096
28,1378.201797255533,465.2496439003712,9.597170491000725,"[4, 2, 3, 0, 1]",False,10,0.75,4096
29,1610.2413476034467,465.2496439003712,9.597170491000725,"[4, 2, 3, 0, 1]",False,10,0.75,4096
30,1881.3480019363337,465.2496439003712,9.597170491000725,"[4, 2, 3, 0, 1]",False,10,0.75,4096
31,2198.099253666354,465.2496439003712,9.597170491000725,"[4, 2, 3, 0, 1]",False,10,0.75,4096
32,2568.180009225155,465.2496439003712,9.597170491000725,"[4, 2, 3, 0, 1]",False,10,0.75,4096
33,3000.5690365358028,465.2496439003712,9.597170491000725,"[4, 2, 3, 0, 1]",False,10,0.75,4096
34,3505.7568046929086,465.2496439003712,9.597170491000725,"[4, 2, 3, 0, 1]",False,10,0.75,4096
35,4096.0,465.2496439003712,9.597170491000725,"[4, 2, 3, 0, 1]",False,10,0.75,4096
36,0.0,465.24964390037115,0.0012209439992147963,"[4, 1, 0, 3, 2]",False,40,0.25,4096
37,2.0,465.2496439003712,0.03484584299803828,"[2, 4, 1, 0, 3]",False,40,0.25,4096
38,1009.616611070054,465.2496439003712,16.30254063800021,"[2, 4, 1, 0, 3]",False,40,0.25,4096
39,1179.599689689595,465.2496439003712,16.30254063800021,"[2, 4, 1, 0, 3]",False,40,0.25,4096
40,1378.201797255533,465.2496439003712,16.30254063800021,"[2, 4, 1, 0, 3]",False,40,0.25,4096
41,1610.2413476034467,465.2496439003712,16.30254063800021,"[2, 4, 1, 0, 3]",False,40,0.25,4096
42,1881.3480019363337,465.2496439003712,16.30254063800021,"[2, 4, 1, 0, 3]",False,40,0.25,4096
43,2198.099253666354,465.2496439003712,16.30254063800021,"[2, 4, 1, 0, 3]",False,40,0.25,4096
44,2568.180009225155,465.2496439003712,16.30254063800021,"[2, 4, 1, 0, 3]",False,40,0.25,4096
45,3000.5690365358028,465.2496439003712,16.30254063800021,"[2, 4, 1, 0, 3]",False,40,0.25,4096
46,3505.7568046929086,465.2496439003712,16.30254063800021,"[2, 4, 1, 0, 3]",False,40,0.25,4096
47,4096.0,465.2496439003712,16.30254063800021,"[2, 4, 1, 0, 3]",False,40,0.25,4096
48,0.0,465.24964390037115,0.001235371997609036,"[4, 1, 0, 3, 2]",False,40,0.5,4096
49,2.0,465.2496439003712,0.035444495999399805,"[4, 2, 3, 0, 1]",False,40,0.5,4096
50,1009.616611070054,465.2496439003712,16.353532978999283,"[4, 2, 3, 0, 1]",False,40,0.5,4096
51,1179.599689689595,465.2496439003712,16.353532978999283,"[4, 2, 3, 0, 1]",False,40,0.5,4096
52,1378.201797255533,465.2496439003712,16.353532978999283,"[4, 2, 3, 0, 1]",False,40,0.5,4096
53,1610.2413476034467,465.2496439003712,16.353532978999283,"[4, 2, 3, 0, 1]",False,40,0.5,4096
54,1881.3480019363337,465.2496439003712,16.353532978999283,"[4, 2, 3, 0, 1]",False,40,0.5,4096
55,2198.099253666354,465.2496439003712,16.353532978999283,"[4, 2, 3, 0, 1]",False,40,0.5,4096
56,2568.180009225155,465.2496439003712,16.353532978999283,"[4, 2, 3, 0, 1]",False,40,0.5,4096
57,3000.5690365358028,465.2496439003712,16.353532978999283,"[4, 2, 3, 0, 1]",False,40,0.5,4096
58,3505.7568046929086,465.2496439003712,16.353532978999283,"[4, 2, 3, 0, 1]",False,40,0.5,4096
59,4096.0,465.2496439003712,16.353532978999283,"[4, 2, 3, 0, 1]",False,40,0.5,4096
60,0.0,465.24964390037115,0.0013154120024410076,"[4, 1, 0, 3, 2]",False,40,0.75,4096
61,2.0,465.2496439003712,0.0361189640025259,"[0, 3, 2, 4, 1]",False,40,0.75,4096
62,1009.616611070054,465.2496439003712,15.979399896001269,"[0, 3, 2, 4, 1]",False,40,0.75,4096
63,1179.599689689595,465.2496439003712,15.979399896001269,"[0, 3, 2, 4, 1]",False,40,0.75,4096
64,1378.201797255533,465.2496439003712,15.979399896001269,"[0, 3, 2, 4, 1]",False,40,0.75,4096
65,1610.2413476034467,465.2496439003712,15.979399896001269,"[0, 3, 2, 4, 1]",False,40,0.75,4096
66,1881.3480019363337,465.2496439003712,15.979399896001269,"[0, 3, 2, 4, 1]",False,40,0.75,4096
67,2198.099253666354,465.2496439003712,15.979399896001269,"[0, 3, 2, 4, 1]",False,40,0.75,4096
68,2568.180009225155,465.2496439003712,15.979399896001269,"[0, 3, 2, 4, 1]",False,40,0.75,4096
69,3000.5690365358028,465.2496439003712,15.979399896001269,"[0, 3, 2, 4, 1]",False,40,0.75,4096
70,3505.7568046929086,465.2496439003712,15.979399896001269,"[0, 3, 2, 4, 1]",False,40,0.75,4096
71,4096.0,465.2496439003712,15.979399896001269,"[0, 3, 2, 4, 1]",False,40,0.75,4096
